iter	Passed	Remaining
0	46	46701
1	95	47537
2	143	47631
3	189	47265
4	253	50374
5	305	50608
6	357	50764
7	406	50427
8	456	50274
9	506	50163
10	558	50234
11	608	50083
12	669	50846
13	724	51000
14	770	50628
15	817	50290
16	875	50621
17	925	50469
18	975	50371
19	1024	50187
20	1070	49926
21	1119	49746
22	1180	50153
23	1229	50019
24	1284	50086
25	1334	50001
26	1387	49987
27	1439	49980
28	1491	49938
29	1540	49815
30	1603	50116
31	1658	50176
32	1717	50336
33	1770	50301
34	1816	50091
35	1865	49957
36	1917	49915
37	1968	49832
38	2019	49762
39	2071	49726
40	2122	49654
41	2169	49493
42	2220	49409
43	2272	49369
44	2321	49264
45	2370	49155
46	2412	48917
47	2461	48824
48	2518	48881
49	2563	48700
50	2614	48647
51	2664	48574
52	2710	48437
53	2766	48457
54	2816	48391
55	2874	48464
56	2927	48439
57	2980	48400
58	3036	48426
59	3090	48414
60	3146	48438
61	3197	48371
62	3245	48264
63	3289	48111
64	3343	48100
65	3401	48131
66	3449	48032
67	3504	48032
68	3549	47891
69	3600	47839
70	3647	47725
71	3706	47776
72	3748	47596
73	3795	47495
74	3837	47328
75	3896	47370
76	3947	47315
77	4007	47375
78	4074	47505
79	4130	47502
80	4201	47668
81	4253	47619
82	4310	47622
83	4363	47586
84	4426	47646
85	4498	47814
86	4565	47910
87	4642	48114
88	4707	48183
89	4751	48038
90	4809	48040
91	4873	48099
92	4926	48047
93	4994	48134
94	5045	48062
95	5094	47975
96	5146	47910
97	5190	47778
98	5235	47649
99	5288	47597
100	5332	47466
101	5390	47457
102	5440	47382
103	5485	47261
104	5535	47179
105	5590	47152
106	5655	47199
107	5707	47143
108	5760	47088
109	5812	47024
110	5868	47001
111	5926	46987
112	5969	46861
113	6023	46815
114	6081	46803
115	6140	46797
116	6189	46709
117	6237	46621
118	6278	46480
119	6324	46376
120	6385	46388
121	6431	46282
122	6475	46169
123	6517	46040
124	6561	45930
125	6612	45866
126	6669	45845
127	6720	45784
128	6770	45716
129	6828	45699
130	6884	45668
131	6936	45615
132	6981	45508
133	7034	45459
134	7097	45474
135	7144	45386
136	7198	45345
137	7251	45298
138	7309	45278
139	7363	45235
140	7413	45164
141	7460	45077
142	7517	45054
143	7569	44998
144	7620	44931
145	7667	44850
146	7718	44791
147	7772	44745
148	7826	44701
149	7868	44590
150	7927	44574
151	7983	44540
152	8036	44489
153	8089	44440
154	8150	44435
155	8194	44335
156	8236	44225
157	8287	44165
158	8347	44150
159	8404	44124
160	8462	44100
161	8510	44024
162	8563	43971
163	8617	43928
164	8680	43930
165	8737	43896
166	8783	43814
167	8841	43788
168	8881	43670
169	8932	43609
170	8971	43495
171	9027	43457
172	9078	43399
173	9121	43300
174	9171	43238
175	9231	43220
176	9290	43197
177	9350	43180
178	9401	43121
179	9459	43094
180	9508	43024
181	9557	42956
182	9613	42918
183	9665	42863
184	9705	42756
185	9761	42720
186	9822	42702
187	9874	42649
188	9925	42591
189	9978	42540
190	10048	42563
191	10093	42476
192	10136	42384
193	10188	42327
194	10236	42257
195	10283	42183
196	10340	42148
197	10385	42068
198	10435	42006
199	10483	41934
200	10532	41868
201	10583	41810
202	10633	41748
203	10678	41666
204	10735	41634
205	10786	41574
206	10841	41533
207	10897	41492
208	10956	41465
209	11006	41406
210	11048	41315
211	11100	41260
212	11157	41225
213	11213	41186
214	11273	41160
215	11315	41070
216	11364	41007
217	11415	40950
218	11475	40923
219	11524	40858
220	11576	40806
221	11627	40748
222	11685	40715
223	11730	40637
224	11783	40588
225	11830	40517
226	11886	40476
227	11949	40459
228	12004	40417
229	12056	40362
230	12109	40312
231	12168	40282
232	12222	40233
233	12275	40183
234	12317	40098
235	12372	40051
236	12420	39988
237	12483	39968
238	12541	39933
239	12597	39893
240	12651	39844
241	12700	39781
242	12748	39714
243	12804	39672
244	12862	39636
245	12915	39586
246	12959	39508
247	13008	39444
248	13064	39403
249	13121	39365
250	13159	39269
251	13202	39186
252	13244	39103
253	13287	39026
254	13331	38949
255	13380	38886
256	13436	38845
257	13481	38771
258	13541	38742
259	13588	38674
260	13641	38625
261	13694	38574
262	13747	38523
263	13793	38454
264	13849	38412
265	13902	38362
266	13954	38308
267	14007	38258
268	14045	38169
269	14090	38097
270	14143	38045
271	14195	37993
272	14251	37952
273	14306	37906
274	14357	37852
275	14412	37805
276	14464	37753
277	14510	37685
278	14568	37647
279	14630	37620
280	14684	37573
281	14744	37539
282	14796	37489
283	14838	37409
284	14890	37357
285	14950	37324
286	15002	37271
287	15044	37193
288	15096	37139
289	15158	37111
290	15219	37081
291	15268	37021
292	15327	36984
293	15385	36945
294	15441	36903
295	15494	36852
296	15547	36800
297	15594	36735
298	15651	36695
299	15701	36637
300	15752	36581
301	15797	36511
302	15844	36448
303	15897	36396
304	15948	36342
305	15989	36264
306	16045	36219
307	16105	36185
308	16158	36133
309	16219	36102
310	16271	36048
311	16334	36019
312	16395	35986
313	16450	35939
314	16507	35896
315	16566	35859
316	16606	35780
317	16659	35729
318	16707	35667
319	16755	35604
320	16804	35546
321	16857	35495
322	16909	35441
323	16959	35385
324	17018	35346
325	17074	35301
326	17123	35242
327	17176	35191
328	17233	35148
329	17288	35100
330	17347	35060
331	17409	35028
332	17470	34992
333	17513	34921
334	17553	34844
335	17605	34792
336	17659	34743
337	17717	34701
338	17770	34650
339	17832	34615
340	17873	34542
341	17922	34481
342	17978	34436
343	18028	34380
344	18082	34329
345	18133	34275
346	18192	34234
347	18240	34175
348	18293	34122
349	18345	34070
350	18400	34021
351	18462	33987
352	18528	33959
353	18599	33940
354	18662	33908
355	18713	33852
356	18780	33826
357	18851	33807
358	18933	33806
359	19006	33788
360	19067	33750
361	19118	33694
362	19179	33656
363	19235	33609
364	19295	33568
365	19340	33502
366	19383	33431
367	19440	33387
368	19487	33324
369	19546	33281
370	19598	33228
371	19649	33172
372	19706	33125
373	19764	33082
374	19820	33033
375	19873	32982
376	19924	32925
377	19968	32857
378	20015	32795
379	20070	32746
380	20112	32676
381	20168	32629
382	20216	32568
383	20260	32500
384	20313	32449
385	20365	32395
386	20411	32332
387	20459	32271
388	20508	32212
389	20559	32157
390	20613	32106
391	20669	32058
392	20728	32015
393	20768	31943
394	20832	31908
395	20884	31854
396	20929	31789
397	20983	31738
398	21028	31674
399	21078	31617
400	21139	31577
401	21188	31518
402	21234	31456
403	21284	31399
404	21335	31345
405	21400	31310
406	21459	31267
407	21512	31214
408	21569	31167
409	21625	31119
410	21684	31076
411	21730	31013
412	21777	30952
413	21829	30898
414	21877	30839
415	21923	30777
416	21967	30712
417	22020	30660
418	22075	30610
419	22123	30551
420	22182	30508
421	22233	30452
422	22283	30395
423	22317	30317
424	22377	30275
425	22429	30221
426	22474	30158
427	22517	30093
428	22561	30029
429	22617	29980
430	22676	29936
431	22738	29897
432	22792	29846
433	22836	29781
434	22895	29737
435	22945	29681
436	23000	29631
437	23059	29587
438	23102	29523
439	23163	29481
440	23218	29430
441	23273	29381
442	23333	29337
443	23392	29292
444	23443	29239
445	23494	29183
446	23551	29136
447	23598	29076
448	23675	29053
449	23725	28998
450	23783	28951
451	23849	28914
452	23894	28852
453	23941	28792
454	23998	28745
455	24048	28688
456	24096	28630
457	24146	28575
458	24200	28523
459	24259	28478
460	24304	28417
461	24364	28372
462	24418	28321
463	24467	28263
464	24522	28213
465	24573	28159
466	24614	28093
467	24655	28027
468	24701	27967
469	24755	27915
470	24810	27865
471	24872	27823
472	24930	27777
473	24973	27713
474	25025	27659
475	25077	27606
476	25134	27558
477	25191	27510
478	25243	27456
479	25296	27404
480	25339	27341
481	25389	27286
482	25449	27241
483	25501	27187
484	25550	27130
485	25608	27083
486	25664	27034
487	25716	26980
488	25767	26927
489	25826	26880
490	25881	26830
491	25937	26780
492	25989	26727
493	26035	26667
494	26092	26620
495	26135	26557
496	26188	26504
497	26239	26450
498	26295	26400
499	26348	26348
500	26398	26293
501	26451	26240
502	26499	26183
503	26545	26124
504	26598	26071
505	26650	26018
506	26707	25969
507	26767	25924
508	26803	25855
509	26855	25801
510	26907	25748
511	26951	25687
512	27009	25640
513	27068	25593
514	27118	25539
515	27163	25478
516	27223	25433
517	27278	25382
518	27322	25322
519	27367	25262
520	27423	25212
521	27480	25163
522	27522	25101
523	27583	25056
524	27639	25006
525	27686	24949
